Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
0.png,0.040016,0.040016,1.0,0,0,pier,Vgg
0.png,0.12215495715594517,0.040016,0.2931413333333333,0,0.1,pier,Vgg
0.png,0.14233881417916894,0.040016,0.17155733333333334,0,0.2,pier,Vgg
0.png,0.13691183353133887,0.040016,0.12841066666666667,0,0.3,pier,Vgg
0.png,0.13743522711358014,0.040016,0.08993066666666667,0,0.4,pier,Vgg
0.png,0.18193146417445483,0.040016,0.05104,0,0.5,pier,Vgg
0.png,0.20097619455386195,0.040016,0.034784,0,0.6,pier,Vgg
0.png,0.21214868540344514,0.040016,0.02416,0,0.7,pier,Vgg
0.png,0.040016,0.040016,1.0,0,0,pier,Vgg
0.png,0.0,0.040016,0.0,0,8,pier,Vgg
0.png,0.06664954411198151,0.040016,0.004282666666666666,0,0.9,pier,Vgg
0.png,0.0,0.040016,0.0,0,1,pier,Vgg
